1   -20,840786  -41,16444   cemurf
2   -20,852784  -41,109468  biblioteca
3   -20,844898  -41,123093  centro-munic-saude
4   -20,848868  -41,11199   cmci
5	-20,846468	-41,13497	emeb-alair-turbay-baiao
6	-20,843467	-41,223892	emeb-anacleto-ramos
7	-20,829539	-41,179304	emeb-angelica-lachine
8	-20,833507	-41,123312	emeb-elisio-cortes-imperial
9	-20,8525788	-41,1308613	emeb-eurico-rezende
10	-20,8310558	-41,1201506	emeb-gercia-ferreira
11	-20,8520628	-41,1339513	emeb-idalina-cunha
12	-20,8502448	-41,1329812	emeb-julieta-deps
13	-20,852424	-41,091998	emeb-juracy-cruz
14	-20,8347164	-41,1805925	emeb-luiz-marques-pinto
15	-20,836737	-41,120895	emeb-mario-augusto-rocha
16	-20,8451965	-41,1494285	emeb-n-s-gracas
17	-20,8511549	-41,1337872	emeb-normilia-cunha
18	-20,839384	-41,1578894	emeb-pedro-estelita
19	-20,8385486	-41,1467749	emeb-rita-de-cassia
20	-20,8514517	-41,1558735	emeb-tereza-valiate
21	-20,826817	-41,1194	emeb-zilda-soares
22	-20,848745	-41,112885	gab-prefeito
23	-20,848802	-41,11202	pgm
24	-20,850135	-41,111141	posturas
25	-20,857839	-41,102804	psf-ppg
26	-20,826771	-41,180469	creche-recanto-crianca
27	-20,8480909	-41,108112	semag
28	-20,847722	-41,118462	semdurb
29	-20,847806	-41,107889	semma
30	-20,826725	-41,178953	semus-ccz
31	-20,851064	-41,0918364	psf-gonzaga
32	-20,832531	-41,162391	sest-senat
33	-20,852145	-41,114054	semdef
34	-20,847777	-41,107683	semma
35	-20,84905	-41,114177	semasi
36	-20,842858	-41,114436	semus
37	-20,8461338	-41,1206878	teatro
38	-20,8319241	-41,1552587	emeb-maria-siloti
39	-20,8437768	-41,1139383	emeb-newton-braga
40	-20,8523283	-41,0951084	emeb-olga
41	-20,8398204	-41,1583834	emeb-waldir-f-amorim
42	-20,8301259	-41,1755176	ginasio-aeroporto
43	-20,8426433	-41,1173538	grupo-unido
44	-20,845939	-41,112258	junta-militar
45	-20,849206	-41,109098	procon
46	-20,8443803	-41,1511311	psf-ago-simonato
47	-20,8478601	-41,1080204	semag-exposicao
48	-20,855318	-41,10365	semdec
49	-20,84725	-41,130016	semdef
50	-20,849321	-41,114169	semdef-oper
51	-20,848291	-41,109676	seme-ingles
52	-20,8235261	-41,1604003	semui
53	-20,8507768	-41,1153501	semus-cerest
54	-20,8343357	-41,1808461	psf-aeroporto
55	-20,8399027	-41,1577399	psf-bnh-baixo
56	-20,8319973	-41,1552956	psf-bnh-cima
57	-20,8470208	-41,1362548	psf-otton-marins
58	-20,8265623	-41,1188944	psf-village
59	-20,8499601	-41,1330452	psf-zumbi
60	-20,8501141	-41,1136955	vig-sanitaria
61	-20,847061	-41,111332	tiro-guerra
62	-20,87603	-41,122402	cmu
63	-20,8533168	-41,1426503	emeb-s-f-assis
64	-20,835867	-41,120797	semdes
65	-20,8828006	-41,0997716	psf-uniao
66	-20,847896	-41,107242	semma
67	-20,84707	-41,143024	psf-laranjeiras
68	-20,828255	-41,181885	banco-alimento
69	-20,8512793	-41,1364193	cras-Zumbi
70	-20,849093	-41,1514677	emeb-cely-santos
71	-20,833552	-41,123366	emeb-elisio-cortes
72	-20,832929	-41,177859	torre-aeroporto
73	-20,855092	-41,104283	seme
74	-20,847865	-41,107368	vig-ambiental
75	-20,8541973	-41,1500961	emeb-rev-jader
76	-20,8574648	-41,1516307	psf-ibc
77	-20,8550059	-41,1528114	 emeb-galdino-silva
78	-20,854693	-41,153187	emeb-maria-victorias
79	-20,8475674	-41,1171678	centro-ref-juventude
80	-20,8803132	-41,0998318	emeb-mont-lobato
81	-20,849565	-41,111624	semfa
82	-20,852293	-41,109928	bolsa-familia
83	-20,8521406	-41,1339273	emeb-idalina-cunha
